epoch,accuracy,loss,val_accuracy,val_loss
0,0.24861782789230347,4.402961730957031,0.5383788347244263,2.4851255416870117
1,0.5212917923927307,2.4442026615142822,0.613756537437439,1.9014695882797241
2,0.6139375567436218,1.8779524564743042,0.6550261378288269,1.6150180101394653
3,0.6618871092796326,1.5791208744049072,0.6666545867919922,1.4943439960479736
4,0.6944963335990906,1.3903918266296387,0.69001305103302,1.3508083820343018
5,0.7167587876319885,1.258933424949646,0.7024041414260864,1.252808928489685
6,0.7343209385871887,1.157887578010559,0.7101394534111023,1.215687870979309
7,0.7483534812927246,1.0818111896514893,0.723961353302002,1.1434314250946045
8,0.7605987787246704,1.019110083580017,0.7185865640640259,1.1310474872589111
9,0.7719194889068604,0.9648880362510681,0.7316749095916748,1.1146841049194336
